ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000000001,Gnai3,29.915785,31.54867,33.909943,33.006168,0,10.194841,6.605542,8.893891
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,3.2221249999999997,3.709495,3.179598,2.793168,0,0,0,2.203599
ENSMUSG00000000037,Scml2,0.48593200000000003,0.43435899999999994,1.075151,0.87375100000000006,0,0,0,0.243204
ENSMUSG00000000049,Apoh,3.1962819999999996,3.978159,2.898053,4.504334999999999,0,0,0,2.126739
ENSMUSG00000000056,Narf,15.543854,17.492577,18.168671,15.310514,8.138645,0,0,3.954861
ENSMUSG00000000058,Cav2,27.225929,28.218659,38.401526000000004,33.996954,93.189732,84.825583,111.999207,16.24121
ENSMUSG00000000078,Klf6,26.754849,25.48872,30.14374,25.419334,0,55.932351,5.005256,21.642118
ENSMUSG00000000085,Scmh1,31.731269000000005,28.055881,28.265345,29.32214,0,0,84.094702,29.617632999999998
ENSMUSG00000000088,Cox5a,616.9253399999999,598.351727,528.1410809999999,609.980539,180.431535,310.955552,261.00299,778.3872980000001
ENSMUSG00000000093,Tbx2,24.173934,21.473143,18.527415,17.247496,29.977502,54.573804,5.893333,9.356138
ENSMUSG00000000094,Tbx4,0.109888,0.097974,0.133322,0.145883,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,411.290934,380.927417,370.236655,385.376541,264.710316,202.39927,324.728964,238.08913
ENSMUSG00000000125,Wnt3,0.676741,0.642616,0.440733,0.414906,0,0,0,0.565926
ENSMUSG00000000126,Wnt9a,7.244864,6.792507,6.244545,6.18279,0,0,0,8.074803
ENSMUSG00000000127,Fer,13.366442000000001,12.850386,14.598299,12.967406,0,11.530928,10.943836,6.799426
ENSMUSG00000000131,Xpo6,68.779492,65.726902,55.401148000000006,70.667063,77.196071,125.48721,79.977649,44.846508
ENSMUSG00000000134,Tfe3,31.838199000000003,27.810637,30.038062999999998,33.08638199999999,0,0,44.328022,25.308447
ENSMUSG00000000142,Axin2,7.142592,7.384736,6.560843,5.7554680000000005,0,0,0,7.947608000000001
ENSMUSG00000000148,Brat1,14.627013,13.639515000000001,13.075172,13.432793,10.605056,15.869179,7.174863,6.793537000000001
ENSMUSG00000000149,Gna12,53.585513,48.447816,50.378274,53.214688,42.621204,0,18.840809,53.224215
ENSMUSG00000000154,Slc22a18,20.277299999999997,20.015305,19.006648,16.940844,110.244062,0,0,15.456571999999998
ENSMUSG00000000157,Itgb2l,0.160529,0.05669,0.10273,0.10547799999999999,0,0,0,0.167783
ENSMUSG00000000159,Igsf5,0,0.031727,0.073513,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,3.290239,2.9549430000000005,2.613495,2.529995,0,0,0,1.32247
ENSMUSG00000000168,Dlat,81.23191400000002,78.633342,77.56096900000001,79.20239000000001,53.476379,56.789438,89.360686,49.690881000000005
ENSMUSG00000000171,Sdhd,160.817702,173.412868,169.327171,170.246493,68.776112,125.206364,40.562475,147.133018
ENSMUSG00000000182,Fgf23,0.497132,0.552781,0.601246,0.297716,0,0,0,0.255644
ENSMUSG00000000183,Fgf6,0,0.010359,0.054501,0.023058,0,0,0,0
ENSMUSG00000000184,Ccnd2,1.706308,2.430235,2.88972,2.380412,5.548468,0,0,9.018542
ENSMUSG00000000194,Gpr107,26.033154,24.677587999999997,24.596922000000003,24.449060999999997,2444.134634,56.446435,109.89630700000001,32.64056
ENSMUSG00000000197,Nalcn,14.071137000000002,14.772419999999999,14.580338000000001,13.440904999999999,9.81801,14.784237,8.685635,3.5713600000000003
ENSMUSG00000000202,Btbd17,0.40332999999999997,0.176172,0.531617,0.375788,0,0,0,0
ENSMUSG00000000204,Slfn4,0.403425,0.108657,0.19058999999999998,0.340436,0,0,0,0.212169
ENSMUSG00000000214,Th,135.95576200000002,123.172452,125.81631200000001,108.686022,89.85864799999999,97.235151,115.898411,80.48206400000001
