ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000000001,Gnai3,2257.221,2141.291,2537.171,2708.421,0,1,1,67
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,136.30699999999996,138.00000000000003,117.64299999999999,136.20000000000002,0,0,0,10
ENSMUSG00000000037,Scml2,34,30.000999999999998,51.00099999999999,38,0,0,0,1
ENSMUSG00000000049,Apoh,64.035,73.072,66,100.325,0,0,0,5
ENSMUSG00000000056,Narf,1578.462,1562.469,1798.7279999999998,1681.852,1,0,0,41
ENSMUSG00000000058,Cav2,1463.4479999999999,1396.8349999999998,1848.798,2066.545,2,2,3,76
ENSMUSG00000000078,Klf6,2383.4190000000003,2109.407,2550.394,2638.19,0,1,1,153
ENSMUSG00000000085,Scmh1,1349.241,1103.792,1241.5369999999998,1442.5230000000001,0,0,2,97
ENSMUSG00000000088,Cox5a,7458.357,6511.567,6369.985,7912.944,2,4,5,849.94
ENSMUSG00000000093,Tbx2,2038.022,1628.51,1548.799,1581.753,3,6,1,79
ENSMUSG00000000094,Tbx4,8,6,9.001,11,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,32773.698,27305.228,29254.285,33401.149,25,21,52,1897.201
ENSMUSG00000000125,Wnt3,48,41,31,32,0,0,0,4
ENSMUSG00000000126,Wnt9a,556.512,469.351,475.652,516.528,0,0,0,62
ENSMUSG00000000127,Fer,881.4910000000001,744.8860000000001,934.49,906.875,0,1,1,43.00000000000001
ENSMUSG00000000131,Xpo6,4215.272,3428.997,3829.2869999999994,4083.8309999999997,1,4,3,235.67299999999997
ENSMUSG00000000134,Tfe3,2198.608,1774.8700000000001,2039.7169999999999,2527.212,0,0,6,168
ENSMUSG00000000142,Axin2,506.842,422.008,494.00600000000003,469.244,0,0,0,43
ENSMUSG00000000148,Brat1,1113.1299999999999,915.724,991.3979999999999,1116.554,1,1,1,55
ENSMUSG00000000149,Gna12,4243.89,3451.577,3956.357,4583.976,4,0,1,398
ENSMUSG00000000154,Slc22a18,664.758,584.1519999999999,621.011,596.175,2,0,0,49
ENSMUSG00000000157,Itgb2l,9.453,3.003,6,7,0,0,0,1
ENSMUSG00000000159,Igsf5,0,1,3,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,56.001,55.025,52.022,45.135,0,0,0,3
ENSMUSG00000000168,Dlat,4601.762000000001,4011.462,4202.424,5000.192,6,7,17,272
ENSMUSG00000000171,Sdhd,4189.251,4061.452,4379.486,4802.347,2,4,2,361
ENSMUSG00000000182,Fgf23,20,20,24,13,0,0,0,1
ENSMUSG00000000183,Fgf6,0,1.019,5.91,2.745,0,0,0,0
ENSMUSG00000000184,Ccnd2,256.082,304.25300000000004,409.102,351.92199999999997,1,0,0,92
ENSMUSG00000000194,Gpr107,3313.9539999999993,2893.538,3163.988,3467.523,1,1,3,163.995
ENSMUSG00000000197,Nalcn,2320.102,2200.065,2411.492,2466.9139999999998,2,1,3,55.987
ENSMUSG00000000202,Btbd17,16,6,14.001,17,0,0,0,0
ENSMUSG00000000204,Slfn4,37.269,9.03,17,25.512,0,0,0,1.968
ENSMUSG00000000214,Th,5489.343999999999,4459.0960000000005,5016.122,4781.858,2,5,6,299
ENSMUSG00000000215,Ins2,0,1,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,1,4,1,7,0,0,0,0
ENSMUSG00000000223,Drp2,14715.879,11536.375,18756.814,18789.437,1,2,5,279.94500000000005
ENSMUSG00000000244,Tspan32,36.469,20.669,31.089,33.903,0,0,0,5.007
ENSMUSG00000000247,Lhx2,6,2,4,3,0,0,0,0
ENSMUSG00000000248,Clec2g,5.258,3,7.18,1,0,0,0,4.229
ENSMUSG00000000253,Gmpr,1792.221,1824.393,1752.723,2061.562,1,0,0,118
ENSMUSG00000000263,Glra1,3,2,1,7,0,0,0,1
ENSMUSG00000000266,Mid2,1375.7749999999999,1389.602,1578.0839999999998,1715.7129999999997,0,1,2,55
ENSMUSG00000000275,Trim25,1490.833,1221.771,1390.984,1641.904,0,0.998,2,92
ENSMUSG00000000276,Dgke,1965.494,1882.254,2072.846,2280.412,1,5,4.972,142.643
ENSMUSG00000000278,Scpep1,1547.342,1331.459,1613.501,1611.115,2,1,5,142
ENSMUSG00000000282,Mnt,2258.106,1783.49,2020.473,2373.98,4,1,5,107
ENSMUSG00000000290,Itgb2,279.003,117.03,162.996,129.914,0,0,0,14
ENSMUSG00000000295,Hddc2,744.9279999999999,607.2909999999999,694.589,792.9340000000001,0,0,0,43.001000000000005
ENSMUSG00000000296,Tpd52l1,244.758,212.038,170.137,243.13099999999997,0,1,0,12
ENSMUSG00000000301,Pemt,280.307,245.18300000000002,251.99999999999997,294.37699999999995,0,0,0,22.999999999999996
ENSMUSG00000000303,Cdh1,6425.309,5379.4400000000005,6862.825,7681.246,5,6,13,455.845
ENSMUSG00000000305,Cdh4,758.163,728.412,624.58,809.11,2,0,1,29
ENSMUSG00000000308,Ckmt1,11267.767,11029.544,10383.685,12396.885999999999,5,4,7,578
ENSMUSG00000000317,Bcl6b,50.004000000000005,25,47,27,0,0,0,5
ENSMUSG00000000318,Clec10a,78.88600000000001,49.746,60.119,43.785,0,0,0,7.4879999999999995
ENSMUSG00000000320,Alox12,72.218,68,78,70,0,0,0,3.048
ENSMUSG00000000326,Comt,3887.9410000000003,3448.331,3659.741,4070.592,9.434999999999999,8.022,26.296,1879.9730000000002
ENSMUSG00000000339,Rtca,4222.902,3858.925,3915.8399999999997,4417.892,0,2,2,225
