ensembl_gene_id,gene_symbol,expressed_in_GSE261676,expressed_in_GSE123919,n_samples_expressed_GSE261676,n_samples_expressed_GSE123919,overlap_status
ENSMUSG00000000001,Gnai3,TRUE,TRUE,4,7,shared
ENSMUSG00000000028,Cdc45,TRUE,TRUE,4,3,shared
ENSMUSG00000000049,Apoh,TRUE,TRUE,4,2,shared
ENSMUSG00000000056,Narf,TRUE,TRUE,4,6,shared
ENSMUSG00000000058,Cav2,TRUE,TRUE,4,8,shared
ENSMUSG00000000078,Klf6,TRUE,TRUE,4,7,shared
ENSMUSG00000000085,Scmh1,TRUE,TRUE,4,6,shared
ENSMUSG00000000088,Cox5a,TRUE,TRUE,4,8,shared
ENSMUSG00000000093,Tbx2,TRUE,TRUE,4,4,shared
ENSMUSG00000000120,Ngfr,TRUE,TRUE,4,8,shared
ENSMUSG00000000126,Wnt9a,TRUE,TRUE,4,2,shared
ENSMUSG00000000127,Fer,TRUE,TRUE,4,7,shared
ENSMUSG00000000131,Xpo6,TRUE,TRUE,4,8,shared
ENSMUSG00000000134,Tfe3,TRUE,TRUE,4,6,shared
ENSMUSG00000000142,Axin2,TRUE,TRUE,4,5,shared
ENSMUSG00000000148,Brat1,TRUE,TRUE,4,8,shared
ENSMUSG00000000149,Gna12,TRUE,TRUE,4,7,shared
ENSMUSG00000000154,Slc22a18,TRUE,TRUE,4,3,shared
ENSMUSG00000000167,Pih1d2,TRUE,TRUE,4,4,shared
ENSMUSG00000000168,Dlat,TRUE,TRUE,4,8,shared
ENSMUSG00000000171,Sdhd,TRUE,TRUE,4,8,shared
ENSMUSG00000000184,Ccnd2,TRUE,TRUE,4,6,shared
ENSMUSG00000000194,Gpr107,TRUE,TRUE,4,8,shared
ENSMUSG00000000197,Nalcn,TRUE,TRUE,4,8,shared
ENSMUSG00000000214,Th,TRUE,TRUE,4,8,shared
ENSMUSG00000000223,Drp2,TRUE,TRUE,4,8,shared
ENSMUSG00000000244,Tspan32,TRUE,TRUE,1,1,shared
ENSMUSG00000000253,Gmpr,TRUE,TRUE,4,6,shared
ENSMUSG00000000266,Mid2,TRUE,TRUE,4,7,shared
ENSMUSG00000000275,Trim25,TRUE,TRUE,4,7,shared
ENSMUSG00000000276,Dgke,TRUE,TRUE,4,8,shared
ENSMUSG00000000278,Scpep1,TRUE,TRUE,4,8,shared
ENSMUSG00000000282,Mnt,TRUE,TRUE,4,8,shared
ENSMUSG00000000290,Itgb2,TRUE,TRUE,4,5,shared
ENSMUSG00000000295,Hddc2,TRUE,TRUE,4,5,shared
ENSMUSG00000000296,Tpd52l1,TRUE,TRUE,4,6,shared
ENSMUSG00000000301,Pemt,TRUE,TRUE,4,5,shared
ENSMUSG00000000303,Cdh1,TRUE,TRUE,4,8,shared
ENSMUSG00000000305,Cdh4,TRUE,TRUE,4,7,shared
ENSMUSG00000000308,Ckmt1,TRUE,TRUE,4,8,shared
ENSMUSG00000000318,Clec10a,TRUE,TRUE,4,3,shared
ENSMUSG00000000326,Comt,TRUE,TRUE,4,8,shared
ENSMUSG00000000339,Rtca,TRUE,TRUE,4,7,shared
ENSMUSG00000000340,Dbt,TRUE,TRUE,4,5,shared
ENSMUSG00000000346,Dazap2,TRUE,TRUE,4,7,shared
ENSMUSG00000000355,Mcts1,TRUE,TRUE,4,5,shared
ENSMUSG00000000374,Trappc10,TRUE,TRUE,4,8,shared
ENSMUSG00000000378,Ccm2,TRUE,TRUE,4,6,shared
ENSMUSG00000000384,Tbrg4,TRUE,TRUE,4,6,shared
ENSMUSG00000000386,Mx1,TRUE,TRUE,4,1,shared
ENSMUSG00000000392,Fap,TRUE,TRUE,4,1,shared
ENSMUSG00000000399,Ndufa9,TRUE,TRUE,4,7,shared
ENSMUSG00000000402,Egfl6,TRUE,TRUE,1,4,shared
ENSMUSG00000000409,Lck,TRUE,TRUE,4,3,shared
ENSMUSG00000000416,Cttnbp2,TRUE,TRUE,4,7,shared
ENSMUSG00000000420,Galnt1,TRUE,TRUE,4,7,shared
ENSMUSG00000000439,Mkrn2,TRUE,TRUE,4,8,shared
ENSMUSG00000000440,Pparg,TRUE,TRUE,4,3,shared
ENSMUSG00000000441,Raf1,TRUE,TRUE,4,8,shared
ENSMUSG00000000486,Septin1,TRUE,TRUE,4,5,shared
ENSMUSG00000000489,Pdgfb,TRUE,TRUE,4,6,shared
ENSMUSG00000000530,Acvrl1,TRUE,TRUE,4,5,shared
ENSMUSG00000000531,Tamalin,TRUE,TRUE,4,6,shared
ENSMUSG00000000532,Acvr1b,TRUE,TRUE,4,8,shared
ENSMUSG00000000538,Tom1l2,TRUE,TRUE,4,8,shared
ENSMUSG00000000552,Zfp385a,TRUE,TRUE,4,8,shared
ENSMUSG00000000555,Itga5,TRUE,TRUE,4,3,shared
ENSMUSG00000000560,Gabra2,TRUE,TRUE,4,6,shared
ENSMUSG00000000561,Wdr77,TRUE,TRUE,4,8,shared
ENSMUSG00000000562,Adora3,TRUE,TRUE,4,3,shared
ENSMUSG00000000563,Atp5pb,TRUE,TRUE,4,8,shared
ENSMUSG00000000567,Sox9,TRUE,TRUE,2,7,shared
ENSMUSG00000000568,Hnrnpd,TRUE,TRUE,4,7,shared
ENSMUSG00000000579,Dynlt1c,TRUE,TRUE,4,5,shared
ENSMUSG00000000581,C1d,TRUE,TRUE,4,6,shared
ENSMUSG00000000594,Gm2a,TRUE,TRUE,4,8,shared
ENSMUSG00000000600,Krit1,TRUE,TRUE,4,6,shared
ENSMUSG00000000605,Clcn4,TRUE,TRUE,4,8,shared
ENSMUSG00000000627,Sema4f,TRUE,TRUE,4,8,shared
ENSMUSG00000000628,Hk2,TRUE,TRUE,4,5,shared
ENSMUSG00000000631,Myo18a,TRUE,TRUE,4,8,shared
ENSMUSG00000000632,Sez6,TRUE,TRUE,4,8,shared
ENSMUSG00000000682,Cd52,TRUE,TRUE,4,5,shared
ENSMUSG00000000686,Abhd15,TRUE,TRUE,4,1,shared
ENSMUSG00000000690,Hoxb6,TRUE,TRUE,4,5,shared
ENSMUSG00000000693,Loxl3,TRUE,TRUE,4,4,shared
ENSMUSG00000000708,Kat2b,TRUE,TRUE,4,6,shared
ENSMUSG00000000711,Rab5b,TRUE,TRUE,4,7,shared
ENSMUSG00000000732,Icosl,TRUE,TRUE,4,5,shared
ENSMUSG00000000738,Spg7,TRUE,TRUE,4,7,shared
ENSMUSG00000000739,Sult5a1,TRUE,TRUE,4,1,shared
ENSMUSG00000000740,Rpl13,TRUE,TRUE,4,7,shared
ENSMUSG00000000743,Chmp1a,TRUE,TRUE,4,7,shared
ENSMUSG00000000751,Rpa1,TRUE,TRUE,4,8,shared
ENSMUSG00000000753,Serpinf1,TRUE,TRUE,4,8,shared
ENSMUSG00000000759,Tubgcp3,TRUE,TRUE,4,5,shared
ENSMUSG00000000766,Oprm1,TRUE,TRUE,4,8,shared
ENSMUSG00000000776,Polr3d,TRUE,TRUE,4,6,shared
ENSMUSG00000000782,Tcf7,TRUE,TRUE,4,3,shared
ENSMUSG00000000787,Ddx3x,TRUE,TRUE,4,7,shared
ENSMUSG00000000791,Il12rb1,TRUE,TRUE,2,4,shared
ENSMUSG00000000792,Slc5a5,TRUE,TRUE,4,6,shared
ENSMUSG00000000794,Kcnn3,TRUE,TRUE,2,4,shared
ENSMUSG00000000804,Usp32,TRUE,TRUE,4,8,shared
ENSMUSG00000000805,Car4,TRUE,TRUE,4,5,shared
ENSMUSG00000000811,Txnrd3,TRUE,TRUE,4,6,shared
ENSMUSG00000000823,Zfp512b,TRUE,TRUE,4,7,shared
